name,price,original_price,discount,review_count,seller,availability,badges,link,category
Now Foods Zinc Picolinate 50 mg -120 Veg Capsules,236.00 Dhs,341.21 Dhs,31%,4.4,Jumia,Available,"['Boutique Officielle', '31%']",https://www.jumia.ma/now-foods-zinc-picolinate-50-mg-120-veg-capsules-47880735.html,beaute-sante
Essence Vernis à ongles pretty FAST 05,15.00 Dhs,,,4.2,Jumia,Available,['Boutique Officielle'],https://www.jumia.ma/essence-vernis-a-ongles-pretty-fast-05-50003876.html,beaute-sante
Generix Derma stamp DRS soins de visage et du corps,185.00 Dhs,205.00 Dhs,10%,4.5,Jumia,Available,['10%'],https://www.jumia.ma/generix-derma-stamp-drs-soins-de-visage-et-du-corps-65682260.html,beaute-sante
"Now Foods Now Foods, Ashwagandha, Extrait standardisé, 450 mg, 90 capsules végétariennes",249.00 Dhs,399.00 Dhs,38%,4.1,Jumia,Available,"['Boutique Officielle', '38%']",https://www.jumia.ma/ashwagandha-extrait-standardise-450-mg-90-capsules-vegetariennes-now-foods-mpg903755.html,beaute-sante
"CHRISTELLE PARIS Collagène marin + Vitamine C, santé et bien-être cheveux, peau, anti-age, anti-ride,",49.90 Dhs,126.00 Dhs,60%,3.5,Jumia,Available,"['Boutique Officielle', '60%']",https://www.jumia.ma/christelle-paris-collagene-marin-vitamine-c-sante-et-bien-etre-cheveux-peau-anti-age-anti-ride-62461894.html,beaute-sante
HERBO IDRISSI Psyllium Blond Probiotic ( Ispaghol ) 500g -Solutions problèmes Intestins,139.00 Dhs,,,4.4,Jumia,Available,['Boutique Officielle'],https://www.jumia.ma/herbo-idrissi-psyllium-blond-probiotic-ispaghol-500g-solutions-problemes-intestins-37303145.html,beaute-sante
Avon Incandessence - Eau de Parfum - 30 ml,59.99 Dhs,,,4.3,Jumia,Available,[],https://www.jumia.ma/incandessence-eau-de-parfum-30-ml-avon-mpg1431791.html,beaute-sante
"Now Foods Vitamines D-3 et K-2, 120 capsules végétariennes avec sticker",195.00 Dhs,379.95 Dhs,49%,4.1,Jumia,Available,['49%'],https://www.jumia.ma/now-foods-vitamines-d-3-et-k-2-120-capsules-vegetariennes-avec-sticker-48391932.html,beaute-sante
L'Oréal Paris Skin Expert - Crème De Nuit Hydratante Confort Triple Active Tous Types De Peau - 50 Ml,66.00 Dhs,,,4.1,Jumia,Available,['Boutique Officielle'],https://www.jumia.ma/loreal-paris-skin-expert-creme-de-nuit-hydratante-confort-triple-active-tous-types-de-peau-50-ml-32208680.html,beaute-sante
Philips Rasoir Electrique Original OneBlade,469.00 Dhs,859.00 Dhs,45%,4.4,Jumia,Available,['45%'],https://www.jumia.ma/philips-rasoir-electrique-original-oneblade-64726795.html,beaute-sante
L'Oréal Paris Elseve – Glycolic Gloss Shampooing Pour Cheveux Ternes - 400ml,55.00 Dhs,55.08 Dhs,1%,3,Jumia,Available,"['Boutique Officielle', '1%']",https://www.jumia.ma/loreal-paris-elseve-glycolic-gloss-shampooing-pour-cheveux-ternes-400ml-66890331.html,beaute-sante
Htc Tondeuse Rechargable zero HTC Cheveux Barbe Rechargeable Rasoir T-Blade AT-178,115.00 Dhs,199.00 Dhs,42%,4.4,Jumia,Available,['42%'],https://www.jumia.ma/tondeuse-rechargable-zero-htc-cheveux-barbe-rechargeable-rasoir-t-blade-at-178-htc-mpg1477053.html,beaute-sante
Durex Performax Intense 10 préservatifs,97.00 Dhs,,,0,Jumia,Available,[],https://www.jumia.ma/durex-performax-intense-10-preservatifs-66593838.html,beaute-sante
OstroVit Créatine 300 g bio orange,175.00 Dhs,200.00 Dhs,13%,5,Jumia,Available,['13%'],https://www.jumia.ma/ostrovit-creatine-300-g-bio-orange-66555881.html,beaute-sante
Swanson Ashwagandha 450 mg 100 capsules Anti-Stress Calme Détente - USA,149.00 Dhs,299.00 Dhs,50%,4.5,Jumia,Available,['50%'],https://www.jumia.ma/swanson-ashwagandha-450-mg-100-capsules-anti-stress-calme-detente-usa-66230077.html,beaute-sante
Technic Mega Matte Blush,53.00 Dhs,,,4.2,Jumia,Available,['Boutique Officielle'],https://www.jumia.ma/mega-matte-blush-technic-mpg94010.html,beaute-sante
L'Oréal Paris Elsève - Oil Replacement Huile Extraordinaire 300 ml,49.00 Dhs,55.00 Dhs,11%,4.1,Jumia,Available,"['Boutique Officielle', '11%']",https://www.jumia.ma/loreal-paris-elseve-oil-replacement-huile-extraordinaire-300-ml-32212088.html,beaute-sante
RAF Brosse Soufflante Rotative-1200W - 5 en 1,225.00 Dhs,400.00 Dhs,44%,3.9,Jumia,Available,['44%'],https://www.jumia.ma/raf-brosse-soufflante-rotative-1200w-5-en-1-65299481.html,beaute-sante
L'Oréal Paris Men Expert Magnesium Defense Gel Douche Crème Peau Sensible 0% Alcool 300ml,35.00 Dhs,39.00 Dhs,10%,4.7,Jumia,Available,"['Boutique Officielle', '10%']",https://www.jumia.ma/loreal-paris-men-expert-magnesium-defense-gel-douche-creme-peau-sensible-0-alcool-300ml-65112688.html,beaute-sante
Now Foods Magnesium Glycinate Avec BioPerine® 60 Veg Capsules,280.00 Dhs,,,4.5,Jumia,Available,[],https://www.jumia.ma/now-foods-magnesium-glycinate-avec-bioperiner-60-veg-capsules-65862307.html,beaute-sante
Garnier Eau Micellaire démaquillante à l'Acide Salycilique 400ml + Gel Nettoyant Fast Clear anti-acné 200ml,105.00 Dhs,144.00 Dhs,27%,4.4,Jumia,Available,"['Boutique Officielle', '27%']",https://www.jumia.ma/garnier-eau-micellaire-demaquillante-a-lacide-salycilique-400ml-gel-nettoyant-fast-clear-anti-acne-200ml-65624792.html,beaute-sante
